ID THREADS	MKL_PARDISO	PARDISO_6_0	KLU
1  1\ thread	1		2.485836083	0.48
2  2\ threads	1.294471334	4.562902334	0.48
3  4\ threads	2.092337579	7.496054337	0.49
4  8\ threads	1.870901269	12.27818448	0.48
5  16\ threads	1.54470131	16.89868502	0.48
