ID THREADS	MKL_PARDISO	PARDISO_6_0	KLU
1  1\ thread	1		2.205895377	0.1
2  2\ threads	1.647425102	3.988674414	0.1
3  4\ threads	2.316583181	7.381669272	0.1
4  8\ threads	2.144187417	12.50697739	0.1
5  16\ threads	1.747910262	17.5207102	0.1
