ID THREADS	MKL_PARDISO	PARDISO_6_0	KLU
1  1\ thread	1		1.529151172	0.48
2  2\ threads	1.526818247	2.46404565	0.48
3  4\ threads	1.997929649	4.695189078	0.48
4  8\ threads	1.948656813	6.431772162	0.48
5  16\ threads	1.700709372	10.75010182	0.48
