ID THREADS	MKL_PARDISO	PARDISO_6_0	KLU
1  1\ thread	1		1.481294967	0.1
2  2\ threads	1.393498695	2.756137602	0.1
3  4\ threads	2.345833763	4.902105109	0.1
4  8\ threads	2.891724412	9.196365184	0.1
5  16\ threads	3.067457924	11.05939222	0.1
